index,value
1991 Jul,3.526591
1991 Aug,3.180891
1991 Sep,3.252221
1991 Oct,3.611003
1991 Nov,3.565869
1991 Dec,4.306371
1992 Jan,5.088335
1992 Feb,2.81452
1992 Mar,2.985811
1992 Apr,3.20478
1992 May,3.127578
1992 Jun,3.270523
1992 Jul,3.7378508200000002
1992 Aug,3.55877609
1992 Sep,3.77720173
1992 Oct,3.92449042
1992 Nov,4.38653092
1992 Dec,5.81054917
1993 Jan,6.19206769
1993 Feb,3.4508569899999997
1993 Mar,3.77230686
1993 Apr,3.7343029
1993 May,3.90539892
1993 Jun,4.04968714
1993 Jul,4.315565520000001
1993 Aug,4.56218455
1993 Sep,4.60866203
1993 Oct,4.66785129
1993 Nov,5.09384145
1993 Dec,7.1799622
1994 Jan,6.73147308
1994 Feb,3.84127758
1994 Mar,4.39407557
1994 Apr,4.07534073
1994 May,4.540644899999999
1994 Jun,4.64561508
1994 Jul,4.75260653
1994 Aug,5.35060467
1994 Sep,5.2044548399999995
1994 Oct,5.3016513
1994 Nov,5.77374216
1994 Dec,6.20459348
1995 Jan,6.74948382
1995 Feb,4.216067349999999
1995 Mar,4.94934946
1995 Apr,4.8230449
1995 May,5.19475419
1995 Jun,5.17078711
1995 Jul,5.25674157
1995 Aug,5.85527729
1995 Sep,5.49072901
1995 Oct,6.115293230000001
1995 Nov,6.08847284
1995 Dec,7.41659792
1996 Jan,8.329452120000001
1996 Feb,5.069795849999999
1996 Mar,5.2625566699999995
1996 Apr,5.59712628
1996 May,6.110296
1996 Jun,5.6891608399999996
1996 Jul,6.48684933
1996 Aug,6.30056933
1996 Sep,6.46747574
1996 Oct,6.828629390000001
1996 Nov,6.64907826
1996 Dec,8.60693721
1997 Jan,8.52447101
1997 Feb,5.27791837
1997 Mar,5.714303449999999
1997 Apr,6.21452908
1997 May,6.4119291899999995
1997 Jun,6.66771564
1997 Jul,7.0508310199999995
1997 Aug,6.70491861
1997 Sep,7.25098761
1997 Oct,7.81973318
1997 Nov,7.39810106
1997 Dec,10.09623339
1998 Jan,8.798513029999999
1998 Feb,5.91826076
1998 Mar,6.53449298
1998 Apr,6.67573561
1998 May,7.0642005800000005
1998 Jun,7.38338118
1998 Jul,7.81349587
1998 Aug,7.43189221
1998 Sep,8.27511722
1998 Oct,8.26044138
1998 Nov,8.59615575
1998 Dec,10.55893902
1999 Jan,10.3914156
1999 Feb,6.42153456
1999 Mar,8.06261937
1999 Apr,7.297739099999999
1999 May,7.9369159400000004
1999 Jun,8.16532298
1999 Jul,8.717420460000001
1999 Aug,9.07096378
1999 Sep,9.17711337
1999 Oct,9.25188674
1999 Nov,9.93313643
1999 Dec,11.53297428
2000 Jan,12.51146235
2000 Feb,7.45719853
2000 Mar,8.59119084
2000 Apr,8.474000369999999
2000 May,9.3868026
2000 Jun,9.560399449999998
2000 Jul,10.8342948
2000 Aug,10.64375083
2000 Sep,9.90816186
2000 Oct,11.7100413
2000 Nov,11.34015074
2000 Dec,12.07913184
2001 Jan,14.49758109
2001 Feb,8.04927477
2001 Mar,10.31289116
2001 Apr,9.753358209999998
2001 May,10.85038183
2001 Jun,9.96171916
2001 Jul,11.443601440000002
2001 Aug,11.659238890000001
2001 Sep,10.647059789999998
2001 Oct,12.65213444
2001 Nov,13.67446631
2001 Dec,12.965735089999999
2002 Jan,16.30026927
2002 Feb,9.05348536
2002 Mar,10.00244879
2002 Apr,10.78875007
2002 May,12.10670515
2002 Jun,10.95410107
2002 Jul,12.844565869999998
2002 Aug,12.19649985
2002 Sep,12.854747869999999
2002 Oct,13.54200436
2002 Nov,13.28764
2002 Dec,15.13491784
2003 Jan,16.82834968
2003 Feb,9.800214610000001
2003 Mar,10.81699371
2003 Apr,10.654222560000001
2003 May,12.51232269
2003 Jun,12.16120969
2003 Jul,12.9980462
2003 Aug,12.51727568
2003 Sep,13.26865761
2003 Oct,14.73362169
2003 Nov,13.66938174
2003 Dec,16.503965609999998
2004 Jan,18.00376795
2004 Feb,11.938029870000001
2004 Mar,12.997900099999999
2004 Apr,12.88264507
2004 May,13.943446810000001
2004 Jun,13.989472200000002
2004 Jul,15.33909742
2004 Aug,15.37076394
2004 Sep,16.142005
2004 Oct,16.685754
2004 Nov,17.636728
2004 Dec,18.869325
2005 Jan,20.778723
2005 Feb,12.154552
2005 Mar,13.402392
2005 Apr,14.459239
2005 May,14.795102
2005 Jun,15.705248
2005 Jul,15.82955
2005 Aug,17.554701
2005 Sep,18.100864
2005 Oct,17.496668
2005 Nov,19.347265
2005 Dec,20.031291
2006 Jan,23.486694
2006 Feb,12.536987
2006 Mar,15.467018
2006 Apr,14.233539
2006 May,17.783058
2006 Jun,16.291602
2006 Jul,16.980282
2006 Aug,18.612189
2006 Sep,16.623343
2006 Oct,21.430241
2006 Nov,23.575517
2006 Dec,23.334206
2007 Jan,28.038383
2007 Feb,16.763869
2007 Mar,19.792754
2007 Apr,16.427305
2007 May,21.000742
2007 Jun,20.681002
2007 Jul,21.83489
2007 Aug,23.930203529999996
2007 Sep,22.930356940000003
2007 Oct,23.263339919999996
2007 Nov,25.25003022
2007 Dec,25.80609
2008 Jan,29.665356
2008 Feb,21.654285
2008 Mar,18.264945
2008 Apr,23.107677
2008 May,22.91251
2008 Jun,19.43174
