index,value
1956 Q1,284
1956 Q2,213
1956 Q3,227
1956 Q4,308
1957 Q1,262
1957 Q2,228
1957 Q3,236
1957 Q4,320
1958 Q1,272
1958 Q2,233
1958 Q3,237
1958 Q4,313
1959 Q1,261
1959 Q2,227
1959 Q3,250
1959 Q4,314
1960 Q1,286
1960 Q2,227
1960 Q3,260
1960 Q4,311
1961 Q1,295
1961 Q2,233
1961 Q3,257
1961 Q4,339
1962 Q1,279
1962 Q2,250
1962 Q3,270
1962 Q4,346
1963 Q1,294
1963 Q2,255
1963 Q3,278
1963 Q4,363
1964 Q1,313
1964 Q2,273
1964 Q3,300
1964 Q4,370
1965 Q1,331
1965 Q2,288
1965 Q3,306
1965 Q4,386
1966 Q1,335
1966 Q2,288
1966 Q3,308
1966 Q4,402
1967 Q1,353
1967 Q2,316
1967 Q3,325
1967 Q4,405
1968 Q1,393
1968 Q2,319
1968 Q3,327
1968 Q4,442
1969 Q1,383
1969 Q2,332
1969 Q3,361
1969 Q4,446
1970 Q1,387
1970 Q2,357
1970 Q3,374
1970 Q4,466
1971 Q1,410
1971 Q2,370
1971 Q3,379
1971 Q4,487
1972 Q1,419
1972 Q2,378
1972 Q3,393
1972 Q4,506
1973 Q1,458
1973 Q2,387
1973 Q3,427
1973 Q4,565
1974 Q1,465
1974 Q2,445
1974 Q3,450
1974 Q4,556
1975 Q1,500
1975 Q2,452
1975 Q3,435
1975 Q4,554
1976 Q1,510
1976 Q2,433
1976 Q3,453
1976 Q4,548
1977 Q1,486
1977 Q2,453
1977 Q3,457
1977 Q4,566
1978 Q1,515
1978 Q2,464
1978 Q3,431
1978 Q4,588
1979 Q1,503
1979 Q2,443
1979 Q3,448
1979 Q4,555
1980 Q1,513
1980 Q2,427
1980 Q3,473
1980 Q4,526
1981 Q1,548
1981 Q2,440
1981 Q3,469
1981 Q4,575
1982 Q1,493
1982 Q2,433
1982 Q3,480
1982 Q4,576
1983 Q1,475
1983 Q2,405
1983 Q3,435
1983 Q4,535
1984 Q1,453
1984 Q2,430
1984 Q3,417
1984 Q4,552
1985 Q1,464
1985 Q2,417
1985 Q3,423
1985 Q4,554
1986 Q1,459
1986 Q2,428
1986 Q3,429
1986 Q4,534
1987 Q1,481
1987 Q2,416
1987 Q3,440
1987 Q4,538
1988 Q1,474
1988 Q2,440
1988 Q3,447
1988 Q4,598
1989 Q1,467
1989 Q2,439
1989 Q3,446
1989 Q4,567
1990 Q1,485
1990 Q2,441
1990 Q3,429
1990 Q4,599
1991 Q1,464
1991 Q2,424
1991 Q3,436
1991 Q4,574
1992 Q1,443
1992 Q2,410
1992 Q3,420
1992 Q4,532
1993 Q1,433
1993 Q2,421
1993 Q3,410
1993 Q4,512
1994 Q1,449
1994 Q2,381
1994 Q3,423
1994 Q4,531
1995 Q1,426
1995 Q2,408
1995 Q3,416
1995 Q4,520
1996 Q1,409
1996 Q2,398
1996 Q3,398
1996 Q4,507
1997 Q1,432
1997 Q2,398
1997 Q3,406
1997 Q4,526
1998 Q1,428
1998 Q2,397
1998 Q3,403
1998 Q4,517
1999 Q1,435
1999 Q2,383
1999 Q3,424
1999 Q4,521
2000 Q1,421
2000 Q2,402
2000 Q3,414
2000 Q4,500
2001 Q1,451
2001 Q2,380
2001 Q3,416
2001 Q4,492
2002 Q1,428
2002 Q2,408
2002 Q3,406
2002 Q4,506
2003 Q1,435
2003 Q2,380
2003 Q3,421
2003 Q4,490
2004 Q1,435
2004 Q2,390
2004 Q3,412
2004 Q4,454
2005 Q1,416
2005 Q2,403
2005 Q3,408
2005 Q4,482
2006 Q1,438
2006 Q2,386
2006 Q3,405
2006 Q4,491
2007 Q1,427
2007 Q2,383
2007 Q3,394
2007 Q4,473
2008 Q1,420
2008 Q2,390
2008 Q3,410
2008 Q4,488
2009 Q1,415
2009 Q2,398
2009 Q3,419
2009 Q4,488
2010 Q1,414
2010 Q2,374
