index,value
1982 Apr,0.3424
1982 May,0.3421
1982 Jun,0.3287
1982 Jul,0.3385
1982 Aug,0.3315
1982 Sep,0.3419
1982 Oct,0.3584
1982 Nov,0.3747
1982 Dec,0.43310000000000004
1983 Jan,0.36860000000000004
1983 Feb,0.3481
1983 Mar,0.3658
1983 Apr,0.3511
1983 May,0.3605
1983 Jun,0.3471
1983 Jul,0.3645
1983 Aug,0.376
1983 Sep,0.37760000000000005
1983 Oct,0.37410000000000004
1983 Nov,0.3906
1983 Dec,0.459
1984 Jan,0.38880000000000003
1984 Feb,0.37710000000000005
1984 Mar,0.3978
1984 Apr,0.38330000000000003
1984 May,0.414
1984 Jun,0.3815
1984 Jul,0.393
1984 Aug,0.409
1984 Sep,0.3947
1984 Oct,0.4245
1984 Nov,0.4365
1984 Dec,0.48810000000000003
1985 Jan,0.42560000000000003
1985 Feb,0.39180000000000004
1985 Mar,0.4161
1985 Apr,0.4198
1985 May,0.4462
1985 Jun,0.4068
1985 Jul,0.4485
1985 Aug,0.466
1985 Sep,0.4552
1985 Oct,0.49360000000000004
1985 Nov,0.5056
1985 Dec,0.5639
1986 Jan,0.5043
1986 Feb,0.45289999999999997
1986 Mar,0.4803
1986 Apr,0.4972
1986 May,0.5307999999999999
1986 Jun,0.4848
1986 Jul,0.5263
1986 Aug,0.5384
1986 Sep,0.5374
1986 Oct,0.5704
1986 Nov,0.5638
1986 Dec,0.6632
1987 Jan,0.5716
1987 Feb,0.5251
1987 Mar,0.5436
1987 Apr,0.5581
1987 May,0.5651
1987 Jun,0.5423
1987 Jul,0.5986
1987 Aug,0.5837
1987 Sep,0.5927
1987 Oct,0.6233
1987 Nov,0.6219
1987 Dec,0.7397999999999999
1988 Jan,0.605
1988 Feb,0.5861000000000001
1988 Mar,0.6253
1988 Apr,0.6119
1988 May,0.6305
1988 Jun,0.6355
1988 Jul,0.6587000000000001
1988 Aug,0.6564
1988 Sep,0.66
1988 Oct,0.6702
1988 Nov,0.6708
1988 Dec,0.7739
1989 Jan,0.7328
1989 Feb,0.6607000000000001
1989 Mar,0.7132000000000001
1989 Apr,0.6939
1989 May,0.71
1989 Jun,0.7217
1989 Jul,0.7413
1989 Aug,0.7455
1989 Sep,0.7669
1989 Oct,0.7937000000000001
1989 Nov,0.8075
1989 Dec,0.9427000000000001
1990 Jan,0.8575
1990 Feb,0.7644
1990 Mar,0.8402999999999999
1990 Apr,0.8046
1990 May,0.8089
1990 Jun,0.799
1990 Jul,0.815
1990 Aug,0.828
1990 Sep,0.8124
1990 Oct,0.833
1990 Nov,0.8515
1990 Dec,0.9457000000000001
1991 Jan,0.8617
1991 Feb,0.7711
1991 Mar,0.8132999999999999
1991 Apr,0.7974
1991 May,0.8206
1991 Jun,0.8012999999999999
1991 Jul,0.8294
