index,value
1980,0.82989428
1981,0.8595109200000001
1982,0.8766891600000001
1983,0.86670716
1984,0.932052
1985,1.04826364
1986,1.3111932
1987,1.63756228
1988,2.0641073999999997
1989,1.91268276
1990,2.03544572
1991,2.17721128
1992,2.3896834399999998
1993,2.75059208
1994,3.0906664
1995,3.42664028
1996,3.83064908
1997,3.97190864
1998,3.83160036
1999,4.143101
2e3,4.566551
2001,4.47541
2002,4.462796
2003,4.384829
2004,4.796861
2005,5.015049
2006,5.063435
2007,5.145489
2008,5.099436
2009,5.088166
2010,5.353702
2011,5.343327
2012,5.589162
2013,5.904884
2014,6.357183
2015,6.858953
