index,value
2000 Jan,7.204
2000 Feb,7.335
2000 Mar,7.812
2000 Apr,7.413
2000 May,9.136
2000 Jun,8.725
2000 Jul,8.751
2000 Aug,9.609
2000 Sep,8.601
2000 Oct,8.93
2000 Nov,8.835
2000 Dec,11.688
2001 Jan,8.078
2001 Feb,7.892
2001 Mar,8.151
2001 Apr,8.738
2001 May,9.416
2001 Jun,9.533
2001 Jul,9.943
2001 Aug,10.859
2001 Sep,8.789
2001 Oct,9.96
2001 Nov,9.619
2001 Dec,12.9
2002 Jan,8.62
2002 Feb,8.401
2002 Mar,8.546
2002 Apr,10.004
2002 May,10.675
2002 Jun,10.115
2002 Jul,11.206
2002 Aug,11.555
2002 Sep,10.453
2002 Oct,10.421
2002 Nov,9.95
2002 Dec,13.975
2003 Jan,9.315
2003 Feb,9.366
2003 Mar,9.91
2003 Apr,10.302
2003 May,11.371
2003 Jun,11.857
2003 Jul,12.387
2003 Aug,12.421
2003 Sep,12.073
2003 Oct,11.963
2003 Nov,10.666
2003 Dec,15.613
2004 Jan,10.586
2004 Feb,10.558
2004 Mar,12.064
2004 Apr,11.899
2004 May,12.077
2004 Jun,13.918
2004 Jul,13.611
2004 Aug,14.132
2004 Sep,13.509
2004 Oct,13.152
2004 Nov,13.993
2004 Dec,18.203
2005 Jan,14.262
2005 Feb,13.024
2005 Mar,14.062
2005 Apr,14.718
2005 May,16.544
2005 Jun,16.732
2005 Jul,16.23
2005 Aug,18.126
2005 Sep,16.016
2005 Oct,15.601
2005 Nov,15.394
2005 Dec,20.439
2006 Jan,14.991
2006 Feb,14.908
2006 Mar,17.459
2006 Apr,14.501
2006 May,18.271
2006 Jun,17.963
2006 Jul,17.026
2006 Aug,18.111
2006 Sep,15.989
2006 Oct,16.735
2006 Nov,15.949
2006 Dec,20.216
2007 Jan,16.198
2007 Feb,15.06
2007 Mar,16.168
2007 Apr,16.376
2007 May,18.403
2007 Jun,19.113
2007 Jul,19.303
2007 Aug,20.56
2007 Sep,16.621
2007 Oct,18.788
2007 Nov,17.97
2007 Dec,22.464
2008 Jan,16.658
2008 Feb,16.214
2008 Mar,16.043
2008 Apr,16.418
2008 May,17.644
2008 Jun,17.705
2008 Jul,18.107
2008 Aug,17.975
2008 Sep,17.598
2008 Oct,17.658
2008 Nov,15.75
2008 Dec,22.414
2009 Jan,16.065
2009 Feb,15.467
2009 Mar,16.297
2009 Apr,16.53
2009 May,18.41
2009 Jun,20.274
2009 Jul,21.311
2009 Aug,20.991
2009 Sep,18.305
2009 Oct,17.832
2009 Nov,18.223
2009 Dec,23.987
2010 Jan,15.964
2010 Feb,16.606
2010 Mar,19.216
2010 Apr,16.419
2010 May,19.638
2010 Jun,19.773
2010 Jul,21.052
2010 Aug,22.011
2010 Sep,19.039
2010 Oct,17.893
2010 Nov,19.276
2010 Dec,25.167
2011 Jan,16.699
2011 Feb,16.619
2011 Mar,17.851
2011 Apr,18.16
2011 May,22.032
2011 Jun,21.395
2011 Jul,22.217
2011 Aug,24.565
2011 Sep,21.095
2011 Oct,20.114
2011 Nov,19.931
2011 Dec,26.12
2012 Jan,18.58
2012 Feb,18.492
2012 Mar,19.724
2012 Apr,20.123
2012 May,22.582
2012 Jun,22.595
2012 Jul,23.379
2012 Aug,24.92
2012 Sep,20.325
2012 Oct,22.038
2012 Nov,20.988
2012 Dec,26.675
2013 Jan,19.061
2013 Feb,19.303
2013 Mar,19.323
2013 Apr,21.573
2013 May,23.685
2013 Jun,22.104
2013 Jul,25.34
2013 Aug,25.211
