index,value
Jan 1956,1254
Feb 1956,1290
Mar 1956,1379
Apr 1956,1346
May 1956,1535
Jun 1956,1555
Jul 1956,1655
Aug 1956,1651
Sep 1956,1500
Oct 1956,1538
Nov 1956,1486
Dec 1956,1394
Jan 1957,1409
Feb 1957,1387
Mar 1957,1543
Apr 1957,1502
May 1957,1693
Jun 1957,1616
Jul 1957,1841
Aug 1957,1787
Sep 1957,1631
Oct 1957,1649
Nov 1957,1586
Dec 1957,1500
Jan 1958,1497
Feb 1958,1463
Mar 1958,1648
Apr 1958,1595
May 1958,1777
Jun 1958,1824
Jul 1958,1994
Aug 1958,1835
Sep 1958,1787
Oct 1958,1699
Nov 1958,1633
Dec 1958,1645
Jan 1959,1597
Feb 1959,1577
Mar 1959,1709
Apr 1959,1756
May 1959,1936
Jun 1959,2052
Jul 1959,2105
Aug 1959,2016
Sep 1959,1914
Oct 1959,1925
Nov 1959,1824
Dec 1959,1765
Jan 1960,1721
Feb 1960,1752
Mar 1960,1914
Apr 1960,1857
May 1960,2159
Jun 1960,2195
Jul 1960,2287
Aug 1960,2276
Sep 1960,2096
Oct 1960,2055
Nov 1960,2004
Dec 1960,1924
Jan 1961,1851
Feb 1961,1839
Mar 1961,2019
Apr 1961,1937
May 1961,2270
Jun 1961,2251
Jul 1961,2382
Aug 1961,2364
Sep 1961,2129
Oct 1961,2110
Nov 1961,2072
Dec 1961,1980
Jan 1962,1995
Feb 1962,1932
Mar 1962,2171
Apr 1962,2162
May 1962,2489
Jun 1962,2424
Jul 1962,2641
Aug 1962,2630
Sep 1962,2324
Oct 1962,2412
Nov 1962,2284
Dec 1962,2186
Jan 1963,2184
Feb 1963,2144
Mar 1963,2379
Apr 1963,2383
May 1963,2717
Jun 1963,2774
Jul 1963,3051
Aug 1963,2891
Sep 1963,2613
Oct 1963,2600
Nov 1963,2493
Dec 1963,2410
Jan 1964,2390
Feb 1964,2463
Mar 1964,2616
Apr 1964,2734
May 1964,2970
Jun 1964,3125
Jul 1964,3342
Aug 1964,3207
Sep 1964,2964
Oct 1964,2919
Nov 1964,2764
Dec 1964,2732
Jan 1965,2622
Feb 1965,2698
Mar 1965,2950
Apr 1965,2895
May 1965,3200
Jun 1965,3408
Jul 1965,3679
Aug 1965,3473
Sep 1965,3154
Oct 1965,3107
Nov 1965,3052
Dec 1965,2918
Jan 1966,2786
Feb 1966,2739
Mar 1966,3125
Apr 1966,3033
May 1966,3486
Jun 1966,3661
Jul 1966,3927
Aug 1966,3851
Sep 1966,3456
Oct 1966,3390
Nov 1966,3280
Dec 1966,3166
Jan 1967,3080
Feb 1967,3069
Mar 1967,3340
Apr 1967,3310
May 1967,3798
Jun 1967,3883
Jul 1967,4191
Aug 1967,4213
Sep 1967,3766
Oct 1967,3628
Nov 1967,3520
Dec 1967,3322
Jan 1968,3250
Feb 1968,3287
Mar 1968,3552
Apr 1968,3440
May 1968,4153
Jun 1968,4265
Jul 1968,4655
Aug 1968,4492
Sep 1968,4051
Oct 1968,3967
Nov 1968,3807
Dec 1968,3639
Jan 1969,3647
Feb 1969,3560
Mar 1969,3929
Apr 1969,3858
May 1969,4485
Jun 1969,4697
Jul 1969,4977
Aug 1969,4675
Sep 1969,4596
Oct 1969,4491
Nov 1969,4127
Dec 1969,4144
Jan 1970,4014
Feb 1970,3994
Mar 1970,4320
Apr 1970,4400
May 1970,5002
Jun 1970,5091
Jul 1970,5471
Aug 1970,5193
Sep 1970,4997
Oct 1970,4737
Nov 1970,4546
Dec 1970,4498
Jan 1971,4350
Feb 1971,4206
Mar 1971,4743
Apr 1971,4582
May 1971,5191
Jun 1971,5457
Jul 1971,5891
Aug 1971,5618
Sep 1971,5158
Oct 1971,5030
Nov 1971,4800
Dec 1971,4654
Jan 1972,4453
Feb 1972,4440
Mar 1972,4945
Apr 1972,4788
May 1972,5425
Jun 1972,5706
Jul 1972,6061
Aug 1972,5846
Sep 1972,5242
Oct 1972,5408
Nov 1972,5114
Dec 1972,5042
Jan 1973,5008
Feb 1973,4657
Mar 1973,5359
Apr 1973,5193
May 1973,5891
Jun 1973,5980
Jul 1973,6390
Aug 1973,6366
Sep 1973,5756
Oct 1973,5640
Nov 1973,5429
Dec 1973,5398
Jan 1974,5413
Feb 1974,5141
Mar 1974,5695
Apr 1974,5554
May 1974,6369
Jun 1974,6592
Jul 1974,7107
Aug 1974,6917
Sep 1974,6353
Oct 1974,6205
Nov 1974,5830
Dec 1974,5646
Jan 1975,5379
Feb 1975,5489
Mar 1975,5824
Apr 1975,5907
May 1975,6482
Jun 1975,6795
Jul 1975,7028
Aug 1975,6776
Sep 1975,6274
Oct 1975,6362
Nov 1975,5940
Dec 1975,5958
Jan 1976,5769
Feb 1976,5887
Mar 1976,6367
Apr 1976,6165
May 1976,6868
Jun 1976,7201
Jul 1976,7601
Aug 1976,7581
Sep 1976,7090
Oct 1976,6841
Nov 1976,6408
Dec 1976,6435
Jan 1977,6176
Feb 1977,6138
Mar 1977,6717
Apr 1977,6470
May 1977,7312
Jun 1977,7763
Jul 1977,8171
Aug 1977,7788
Sep 1977,7311
Oct 1977,6679
Nov 1977,6704
Dec 1977,6724
Jan 1978,6552
Feb 1978,6427
Mar 1978,7105
Apr 1978,6869
May 1978,7683
Jun 1978,8082
Jul 1978,8555
Aug 1978,8386
Sep 1978,7553
Oct 1978,7398
Nov 1978,7112
Dec 1978,6886
Jan 1979,7077
Feb 1979,6820
Mar 1979,7426
Apr 1979,7143
May 1979,8261
Jun 1979,8240
Jul 1979,8977
Aug 1979,8991
Sep 1979,8026
Oct 1979,7911
Nov 1979,7510
Dec 1979,7381
Jan 1980,7366
Feb 1980,7414
Mar 1980,7824
Apr 1980,7524
May 1980,8279
Jun 1980,8707
Jul 1980,9486
Aug 1980,8973
Sep 1980,8231
Oct 1980,8206
Nov 1980,7927
Dec 1980,7999
Jan 1981,7834
Feb 1981,7521
Mar 1981,8284
Apr 1981,7999
May 1981,8940
Jun 1981,9381
Jul 1981,10078
Aug 1981,9796
Sep 1981,8471
Oct 1981,8572
Nov 1981,8150
Dec 1981,8168
Jan 1982,8166
Feb 1982,7903
Mar 1982,8606
Apr 1982,8071
May 1982,9178
Jun 1982,9873
Jul 1982,10476
Aug 1982,9296
Sep 1982,8818
Oct 1982,8697
Nov 1982,8381
Dec 1982,8293
Jan 1983,7942
Feb 1983,8001
Mar 1983,8744
Apr 1983,8397
May 1983,9115
Jun 1983,9773
Jul 1983,10358
Aug 1983,9849
Sep 1983,9083
Oct 1983,9143
Nov 1983,8800
Dec 1983,8741
Jan 1984,8492
Feb 1984,8795
Mar 1984,9354
Apr 1984,8796
May 1984,10072
Jun 1984,10174
Jul 1984,11326
Aug 1984,10744
Sep 1984,9806
Oct 1984,9740
Nov 1984,9373
Dec 1984,9244
Jan 1985,9407
Feb 1985,8827
Mar 1985,9880
Apr 1985,9364
May 1985,10580
Jun 1985,10899
Jul 1985,11687
Aug 1985,11280
Sep 1985,10208
Oct 1985,10212
Nov 1985,9725
Dec 1985,9721
Jan 1986,9846
Feb 1986,9407
Mar 1986,10265
Apr 1986,9970
May 1986,10801
Jun 1986,11246
Jul 1986,12167
Aug 1986,11578
Sep 1986,10645
Oct 1986,10613
Nov 1986,10104
Dec 1986,10348
Jan 1987,10263
Feb 1987,9973
Mar 1987,10803
Apr 1987,10409
May 1987,11458
Jun 1987,11845
Jul 1987,12559
Aug 1987,12070
Sep 1987,11221
Oct 1987,11338
Nov 1987,10761
Dec 1987,11012
Jan 1988,10923
Feb 1988,10790
Mar 1988,11427
Apr 1988,10788
May 1988,11772
Jun 1988,12104
Jul 1988,12634
Aug 1988,12772
Sep 1988,11764
Oct 1988,11956
Nov 1988,11646
Dec 1988,11750
Jan 1989,11485
Feb 1989,11198
Mar 1989,12265
Apr 1989,11704
May 1989,12419
Jun 1989,13259
Jul 1989,13945
Aug 1989,13839
Sep 1989,12387
Oct 1989,12546
Nov 1989,12038
Dec 1989,11977
Jan 1990,12336
Feb 1990,11793
Mar 1990,12877
Apr 1990,11923
May 1990,13306
Jun 1990,13988
Jul 1990,14002
Aug 1990,14336
Sep 1990,12867
Oct 1990,12721
Nov 1990,12449
Dec 1990,12686
Jan 1991,12810
Feb 1991,12015
Mar 1991,12888
Apr 1991,12431
May 1991,13499
Jun 1991,13014
Jul 1991,14296
Aug 1991,14125
Sep 1991,12817
Oct 1991,12862
Nov 1991,12449
Dec 1991,12489
Jan 1992,12621
Feb 1992,12380
Mar 1992,13023
Apr 1992,12302
May 1992,13339
Jun 1992,13825
Jul 1992,14428
Aug 1992,14151
Sep 1992,13355
Oct 1992,13094
Nov 1992,12656
Dec 1992,12435
Jan 1993,13287
Feb 1993,12434
Mar 1993,13209
Apr 1993,12817
May 1993,13746
Jun 1993,14259
Jul 1993,14590
Aug 1993,14354
Sep 1993,13254
Oct 1993,13464
Nov 1993,13302
Dec 1993,13456
Jan 1994,13171
Feb 1994,12517
Mar 1994,13489
Apr 1994,12509
May 1994,13785
Jun 1994,13921
Jul 1994,14603
Aug 1994,14749
Sep 1994,13540
Oct 1994,13457
Nov 1994,13243
Dec 1994,13590
Jan 1995,13487
Feb 1995,12776
Mar 1995,13812
Apr 1995,13032
May 1995,14268
Jun 1995,14473
Jul 1995,15359
Aug 1995,14457
