index,Demand,WorkDay,Temperature
0001-01-01,174.896295326,0,26
0001-01-02,188.590934892,1,23
0001-01-03,188.91689062,1,22.2
0001-01-04,173.814244214,0,20.3
0001-01-05,169.515174872,0,26.1
0001-01-06,195.72879483399998,1,19.6
0001-01-07,199.902887696,1,20
0001-01-08,205.337529316,1,27.4
0001-01-09,228.07820422,1,32.4
0001-01-10,258.598386836,1,34
0001-01-11,201.797008908,0,22.4
0001-01-12,187.629785594,0,22.5
0001-01-13,254.663606842,1,30
0001-01-14,322.232255032,1,42.4
0001-01-15,343.993353528,1,41.5
0001-01-16,347.637557646,1,43.2
0001-01-17,332.945502716,1,43.1
0001-01-18,219.751693702,0,23.7
0001-01-19,186.981555158,0,22.3
0001-01-20,228.487553532,1,24
0001-01-21,222.36502675,1,23.1
0001-01-22,220.466929546,1,23.3
0001-01-23,240.580637894,1,29.6
0001-01-24,224.665187786,1,22.1
0001-01-25,181.149785498,0,20.3
0001-01-26,182.223086342,0,27
0001-01-27,230.222630786,0,34.5
0001-01-28,309.374424338,1,41.4
0001-01-29,243.223913258,1,24.5
0001-01-30,258.389551002,1,29.2
0001-01-31,259.305270078,1,26.8
0001-02-01,241.31848797,0,29.2
0001-02-02,264.505049836,0,38.6
0001-02-03,264.955610774,1,33.9
0001-02-04,221.680710242,1,25.7
0001-02-05,237.149770986,1,30.5
0001-02-06,276.413439262,1,35.1
0001-02-07,283.315457006,1,35.6
0001-02-08,272.508421892,0,40
0001-02-09,243.629811052,0,39.5
0001-02-10,223.084473768,1,24.7
0001-02-11,238.787088348,1,26.2
0001-02-12,252.236563172,1,26.9
0001-02-13,250.903040492,1,26.6
0001-02-14,242.45576593799998,1,26.6
0001-02-15,214.2725871,0,28.7
0001-02-16,175.293506572,0,23
0001-02-17,216.41037534,1,25.3
0001-02-18,232.637631876,1,30.2
0001-02-19,222.362212674,1,25.4
0001-02-20,210.203074572,1,20.3
0001-02-21,211.63697823,1,20.4
0001-02-22,186.799502978,0,19.6
0001-02-23,178.232233994,0,22.9
0001-02-24,221.685421236,1,24.3
0001-02-25,237.559519164,1,32.7
0001-02-26,220.509299024,1,21.8
0001-02-27,216.788000444,1,21.5
0001-02-28,214.887519558,1,23.5
0001-03-01,193.53879341,0,23.1
0001-03-02,183.354964932,0,22.3
0001-03-03,228.382493082,1,25
0001-03-04,255.374052196,1,33.3
0001-03-05,233.962163338,1,25.6
0001-03-06,216.470282328,1,20.8
0001-03-07,215.960731656,1,22.5
0001-03-08,194.569924848,0,27.8
0001-03-09,200.780368924,0,32.7
0001-03-10,213.91601553,0,32.1
0001-03-11,240.581826218,1,31.1
0001-03-12,220.376579918,1,21.8
0001-03-13,219.122627882,1,22.7
0001-03-14,223.930963028,1,26.2
0001-03-15,191.977954408,0,29.1
0001-03-16,172.960154572,0,20.3
0001-03-17,212.669337542,1,24.7
0001-03-18,216.799245608,1,24.1
0001-03-19,215.956212578,1,22.2
0001-03-20,226.828705024,1,30.7
0001-03-21,221.975617464,1,22.9
0001-03-22,186.249094462,0,19.4
0001-03-23,179.274619262,0,18.7
0001-03-24,213.566742194,1,18.8
0001-03-25,214.613345464,1,24.4
0001-03-26,217.41287881,1,26.9
0001-03-27,221.790532056,1,25.3
0001-03-28,214.881351502,1,21.5
0001-03-29,185.212055566,0,23.6
0001-03-30,181.795096428,0,25.9
0001-03-31,230.663662492,1,30.1
0001-04-01,253.290102574,1,32.9
0001-04-02,235.528924916,1,26
0001-04-03,222.700405572,1,18.2
0001-04-04,218.932024318,1,19.7
0001-04-05,192.15175974000002,0,24.1
0001-04-06,182.59510412,0,24.3
0001-04-07,218.474476344,1,24.5
0001-04-08,226.201756238,1,22
0001-04-09,225.599344182,1,17.8
0001-04-10,223.880770978,1,18.9
0001-04-11,220.39874308,1,18.9
0001-04-12,189.730219148,0,22.4
0001-04-13,180.797405356,0,21.5
0001-04-14,212.901439274,1,20.7
0001-04-15,216.103419866,1,21.1
0001-04-16,218.360304206,1,21.6
