index,value
1996 Jan,79.35
1996 Feb,75.78
1996 Mar,86.32
1996 Apr,72.6
1996 May,74.86
1996 Jun,83.81
1996 Jul,79.8
1996 Aug,62.41
1996 Sep,85.41
1996 Oct,83.11
1996 Nov,84.21
1996 Dec,89.7
1997 Jan,78.64
1997 Feb,77.42
1997 Mar,89.86
1997 Apr,81.27
1997 May,78.68
1997 Jun,89.51
1997 Jul,83.67
1997 Aug,69.8
1997 Sep,91.09
1997 Oct,89.43
1997 Nov,91.04
1997 Dec,92.87
1998 Jan,81.87
1998 Feb,85.36
1998 Mar,92.98
1998 Apr,81.09
1998 May,85.64
1998 Jun,91.14
1998 Jul,83.46
1998 Aug,66.37
1998 Sep,93.34
1998 Oct,85.93
1998 Nov,86.81
1998 Dec,93.3
1999 Jan,81.59
1999 Feb,81.77
1999 Mar,91.24
1999 Apr,79.45
1999 May,86.99
1999 Jun,96.6
1999 Jul,97.99
1999 Aug,79.13
1999 Sep,103.56
1999 Oct,100.89
1999 Nov,99.4
1999 Dec,111.8
2000 Jan,95.3
2000 Feb,97.77
2000 Mar,116.23
2000 Apr,100.98
2000 May,104.07
2000 Jun,114.64
2000 Jul,107.62
2000 Aug,96.12
2000 Sep,123.5
2000 Oct,116.12
2000 Nov,116.86
2000 Dec,128.61
2001 Jan,100.56
2001 Feb,103.05
2001 Mar,119.06
2001 Apr,92.46
2001 May,98.75
2001 Jun,111.14
2001 Jul,96.13
2001 Aug,79.72
2001 Sep,102.07
2001 Oct,96.18
2001 Nov,101.26
2001 Dec,109.85
2002 Jan,89.52
2002 Feb,89.27
2002 Mar,104.35
2002 Apr,87.05
2002 May,89.33
2002 Jun,102.2
2002 Jul,88.13
2002 Aug,75.68
2002 Sep,99.48
2002 Oct,96.4
2002 Nov,96.16
2002 Dec,101
2003 Jan,89.34
2003 Feb,86.91
2003 Mar,98.9
2003 Apr,85.54
2003 May,85.25
2003 Jun,101.14
2003 Jul,91.8
2003 Aug,76.98
2003 Sep,104.33
2003 Oct,99.72
2003 Nov,101.06
2003 Dec,109
2004 Jan,89.88
2004 Feb,92.27
2004 Mar,105.11
2004 Apr,91.5
2004 May,92.56
2004 Jun,104.35
2004 Jul,96.21
2004 Aug,79.58
2004 Sep,105.43
2004 Oct,99.18
2004 Nov,99.77
2004 Dec,113.55
2005 Jan,91.65
2005 Feb,90.56
2005 Mar,105.52
2005 Apr,92.18
2005 May,91.22
2005 Jun,109.04
2005 Jul,99.26
2005 Aug,83.36
2005 Sep,110.8
2005 Oct,104.95
2005 Nov,107.07
2005 Dec,114.4
2006 Jan,99.16
2006 Feb,99.86
2006 Mar,116.14
2006 Apr,103.48
2006 May,103.07
2006 Jun,119.32
2006 Jul,107.94
2006 Aug,90.59
2006 Sep,121.8
2006 Oct,117.11
2006 Nov,113.71
2006 Dec,120.37
2007 Jan,103.93
2007 Feb,104.1
2007 Mar,125.72
2007 Apr,104.7
2007 May,108.45
2007 Jun,123.11
2007 Jul,108.89
2007 Aug,94.07
2007 Sep,121.88
2007 Oct,116.81
2007 Nov,115.87
2007 Dec,127.14
2008 Jan,109.45
2008 Feb,105.23
2008 Mar,121.32
2008 Apr,108.78
2008 May,103.2
2008 Jun,117.93
2008 Jul,103.76
2008 Aug,89.27
2008 Sep,109.5
2008 Oct,104.02
2008 Nov,100.12
2008 Dec,101.18
2009 Jan,77.38
2009 Feb,75.19
2009 Mar,86.4
2009 Apr,74.13
2009 May,74.1
2009 Jun,85.61
2009 Jul,79.9
2009 Aug,65.36
2009 Sep,88.09
2009 Oct,84.6
2009 Nov,88.09
2009 Dec,102.52
2010 Jan,79.28
2010 Feb,78.74
2010 Mar,94.62
2010 Apr,84.66
2010 May,85.2
2010 Jun,103.94
2010 Jul,89.87
2010 Aug,78.14
2010 Sep,96.5
2010 Oct,94.68
2010 Nov,101.77
2010 Dec,103.48
2011 Jan,92.57
2011 Feb,89.16
2011 Mar,104.48
2011 Apr,89.45
2011 May,93.4
2011 Jun,102.9
2011 Jul,93.77
2011 Aug,77.58
2011 Sep,95.04
2011 Oct,91.77
2011 Nov,93.37
2011 Dec,98.34
2012 Jan,86.44
2012 Feb,85.04
2012 Mar,97.8
