index,value
1996 Q1,89.13
1996 Q2,89.52
1996 Q3,89.88
1996 Q4,90.12
1997 Q1,89.19
1997 Q2,89.78
1997 Q3,90.03
1997 Q4,90.38
1998 Q1,90.27
1998 Q2,90.77
1998 Q3,91.85
1998 Q4,92.51
1999 Q1,92.21
1999 Q2,92.52
1999 Q3,93.62
1999 Q4,94.15
2000 Q1,94.69
2000 Q2,95.34
2000 Q3,96.04
2000 Q4,96.3
2001 Q1,94.83
2001 Q2,95.14
2001 Q3,95.86
2001 Q4,95.83
2002 Q1,95.73
2002 Q2,96.36
2002 Q3,96.89
2002 Q4,97.01
2003 Q1,96.66
2003 Q2,97.76
2003 Q3,97.83
2003 Q4,97.76
2004 Q1,98.17
2004 Q2,98.55
2004 Q3,99.31
2004 Q4,99.44
2005 Q1,99.43
2005 Q2,99.84
2005 Q3,100.32
2005 Q4,100.4
2006 Q1,99.88
2006 Q2,100.19
2006 Q3,100.75
2006 Q4,101.01
2007 Q1,100.84
2007 Q2,101.34
2007 Q3,101.94
2007 Q4,102.1
2008 Q1,101.56
2008 Q2,101.48
2008 Q3,101.13
2008 Q4,100.34
2009 Q1,98.93
2009 Q2,98.31
2009 Q3,97.67
2009 Q4,97.44
2010 Q1,96.53
2010 Q2,96.56
2010 Q3,96.51
2010 Q4,96.7
2011 Q1,95.88
2011 Q2,95.84
2011 Q3,95.79
2011 Q4,95.94
