index,value
1991-02-06T12:00:00Z,6.621
1991-02-13T11:53:06Z,6.433
1991-02-20T11:46:12Z,6.582
1991-02-27T11:39:18Z,7.224
1991-03-06T11:32:24Z,6.875
1991-03-13T11:25:30Z,6.947
1991-03-20T11:18:36Z,7.328
1991-03-27T11:11:42Z,6.777
1991-04-03T11:04:48Z,7.503
1991-04-10T10:57:54Z,6.916
1991-04-17T10:51:00Z,7.045
1991-04-24T10:44:06Z,6.956
1991-05-01T10:37:12Z,6.976
1991-05-08T10:30:18Z,7.185
1991-05-15T10:23:25Z,6.899
1991-05-22T10:16:31Z,7.396
1991-05-29T10:09:37Z,7.287
1991-06-05T10:02:43Z,7.22
1991-06-12T09:55:49Z,7.651
1991-06-19T09:48:55Z,7.72
1991-06-26T09:42:01Z,7.543
1991-07-03T09:35:07Z,7.961
1991-07-10T09:28:13Z,7.327
1991-07-17T09:21:19Z,7.38
1991-07-24T09:14:25Z,7.501
1991-07-31T09:07:31Z,7.605
1991-08-07T09:00:37Z,7.584
1991-08-14T08:53:43Z,7.401
1991-08-21T08:46:49Z,7.505
1991-08-28T08:39:55Z,7.427
1991-09-04T08:33:01Z,6.993
1991-09-11T08:26:07Z,7.402
1991-09-18T08:19:13Z,7.391
1991-09-25T08:12:19Z,7.088
1991-10-02T08:05:25Z,6.949
1991-10-09T07:58:31Z,7.506
1991-10-16T07:51:37Z,7.396
1991-10-23T07:44:43Z,7.421
1991-10-30T07:37:49Z,7.159
1991-11-06T07:30:55Z,7.379
1991-11-13T07:24:01Z,7.369
1991-11-20T07:17:08Z,6.652
1991-11-27T07:10:14Z,6.769
1991-12-04T07:03:20Z,6.828
1991-12-11T06:56:26Z,7.344
1991-12-18T06:49:32Z,7.447
1991-12-25T06:42:38Z,7.186
1992-01-01T06:36:49Z,6.642
1992-01-08T06:57:31Z,6.788
1992-01-15T07:18:13Z,6.783
1992-01-22T07:38:54Z,7.037
1992-01-29T07:59:36Z,7.112
1992-02-05T08:20:18Z,7.039
1992-02-12T08:41:00Z,6.576
1992-02-19T09:01:42Z,7.002
1992-02-26T09:22:24Z,6.77
1992-03-04T09:43:06Z,7.002
1992-03-11T10:03:48Z,6.806
1992-03-18T10:24:30Z,7.221
1992-03-25T10:45:11Z,7.379
1992-04-01T11:05:53Z,7.027
1992-04-08T11:26:35Z,7.744
1992-04-15T11:47:17Z,6.464
1992-04-22T12:07:59Z,7.376
1992-04-29T12:28:41Z,7.899
1992-05-06T12:49:23Z,7.318
1992-05-13T13:10:05Z,7.174
1992-05-20T13:30:47Z,7.086
1992-05-27T13:51:28Z,7.774
1992-06-03T14:12:10Z,7.104
1992-06-10T14:32:52Z,7.129
1992-06-17T14:53:34Z,7.407
1992-06-24T15:14:16Z,7.701
1992-07-01T15:34:58Z,7.572
1992-07-08T15:55:40Z,7.813
1992-07-15T16:16:22Z,7.422
1992-07-22T16:37:04Z,7.792
1992-07-29T16:57:45Z,7.433
1992-08-05T17:18:27Z,7.796
1992-08-12T17:39:09Z,7.7
1992-08-19T17:59:51Z,7.365
1992-08-26T18:20:33Z,7.814
1992-09-02T18:41:15Z,7.326
1992-09-09T19:01:57Z,7.473
