index,value
1,392.830017
2,392.512085
3,397.305908
4,398.011322
5,400.490204
6,408.095734
7,416.590485
8,413.003815
9,413.609863
10,413.073364
11,414.712708
12,411.130981
13,409.988434
14,408.115601
15,404.518982
16,401.285034
17,403.038635
18,404.722656
19,403.00882
20,402.536896
21,402.204041
22,403.585083
23,398.736603
24,394.528961
25,398.006348
26,403.893066
27,400.495178
28,394.966125
29,388.994965
30,384.921448
31,386.312408
32,392.536926
33,392.641235
34,392.472351
35,388.438568
36,394.121613
37,388.751556
38,380.480347
39,397.350616
40,397.469849
41,401.339661
42,404.096741
43,401.935791
44,398.120605
45,406.883606
46,409.620819
47,407.564178
48,412.124542
49,420.127472
50,427.991333
51,425.845276
52,433.99231
53,432.924255
54,437.270966
55,435.929688
56,440.683777
57,454.985748
58,449.014587
59,451.652435
60,451.329529
61,450.554565
62,441.836273
63,438.542694
64,433.838287
65,437.787628
66,431.349487
67,432.566559
68,432.795074
69,431.011688
70,426.774231
71,427.072296
72,429.526337
73,437.022583
74,442.233704
75,437.062317
76,433.172638
77,435.666412
78,434.692749
79,440.261536
80,447.400085
81,447.429901
82,439.511414
83,437.618713
84,432.084717
85,430.3013
86,434.002228
87,435.701172
88,437.340515
89,441.071259
90,438.30426
91,440.350952
92,443.858124
93,449.620636
94,449.69516
95,450.067749
96,457.146698
97,458.517792
98,459.35733
99,456.83374
100,456.307159
101,452.397583
102,445.403076
103,452.407532
104,448.979828
105,448.532715
106,440.981842
107,439.814423
108,438.284393
109,442.581421
110,441.006683
111,449.188477
112,450.355865
113,449.575928
114,445.388184
115,442.447296
116,443.445801
117,442.328094
118,439.893921
119,437.777679
120,432.094635
121,427.052429
122,425.68631
123,430.028076
124,429.913818
125,431.856201
126,434.032043
127,432.293335
128,430.395691
129,422.328156
130,421.533325
131,424.951111
132,420.713654
133,427.410095
134,432.998749
135,436.938141
136,436.948059
137,441.155701
138,441.463715
139,445.199402
140,443.644531
141,441.662415
142,441.011658
143,440.191986
144,448.741364
145,446.292297
146,448.637054
147,440.385712
148,440.554626
149,435.78067
150,436.24762
151,435.363373
152,435.124939
153,440.634094
154,441.125916
155,435.214355
156,433.356445
157,430.072784
158,424.076782
159,425.164703
160,431.314728
161,433.177612
162,435.224274
163,438.155212
164,446.113464
165,441.523315
166,502.437134
167,498.408325
168,500.246368
169,512.372498
170,509.461456
171,504.319885
172,504.22052
173,514.771912
174,511.880707
175,511.960205
176,510.20163
177,509.739624
178,507.459473
179,508.070496
180,500.718323
181,504.732208
182,502.029785
183,502.620941
184,512.899109
185,514.270142
186,513.440552
187,512.442078
188,509.287567
189,507.851898
190,513.693909
191,512.610962
192,519.585571
193,525.785278
194,528.120117
195,526.37146
196,523.832947
197,523.226929
198,525.671021
199,525.253723
200,531.478271
