index,value
1991 Jul,0.429795
1991 Aug,0.400906
1991 Sep,0.432159
1991 Oct,0.492543
1991 Nov,0.502369
1991 Dec,0.602652
1992 Jan,0.660119
1992 Feb,0.33622
1992 Mar,0.351348
1992 Apr,0.379808
1992 May,0.361801
1992 Jun,0.410534
1992 Jul,0.48338866999999996
1992 Aug,0.47546341999999997
1992 Sep,0.53476104
1992 Oct,0.56860613
1992 Nov,0.5952232900000001
1992 Dec,0.77125778
1993 Jan,0.7515028
1993 Feb,0.38755434000000005
1993 Mar,0.42728321999999996
1993 Apr,0.41389018
1993 May,0.42885882000000003
1993 Jun,0.47012642
1993 Jul,0.50920969
1993 Aug,0.558443
1993 Sep,0.6015140600000001
1993 Oct,0.6329471
1993 Nov,0.69960539
1993 Dec,0.9630805100000001
1994 Jan,0.81932534
1994 Feb,0.43766980000000005
1994 Mar,0.5061212700000001
1994 Apr,0.47049116999999996
1994 May,0.5106962599999999
1994 Jun,0.54051379
1994 Jul,0.5581189200000001
1994 Aug,0.6728520600000001
1994 Sep,0.68589738
1994 Oct,0.68969198
1994 Nov,0.74130358
1994 Dec,0.8133076300000001
1995 Jan,0.8031125699999999
1995 Feb,0.47525824
1995 Mar,0.5525722999999999
1995 Apr,0.5271078199999999
1995 May,0.5612498199999999
1995 Jun,0.58897764
1995 Jul,0.6231336199999999
1995 Aug,0.74083723
1995 Sep,0.72537176
1995 Oct,0.81580302
1995 Nov,0.81400947
1995 Dec,0.9266530500000001
1996 Jan,0.93727594
1996 Feb,0.52876165
1996 Mar,0.55933994
1996 Apr,0.5778716599999999
1996 May,0.6149274100000001
1996 Jun,0.59418877
1996 Jul,0.7077584400000001
1996 Aug,0.7195019500000001
1996 Sep,0.74432369
1996 Oct,0.80485511
1996 Nov,0.78854235
1996 Dec,0.9710894
1997 Jan,0.84683354
1997 Feb,0.46382251999999996
1997 Mar,0.48527317
1997 Apr,0.5280585999999999
1997 May,0.56233647
1997 Jun,0.5885704
1997 Jul,0.66948036
1997 Aug,0.67799365
1997 Sep,0.76299549
1997 Oct,0.79972374
1997 Nov,0.7705219200000001
1997 Dec,0.99438934
1998 Jan,0.80054443
1998 Feb,0.49055721
1998 Mar,0.52440799
1998 Apr,0.53664948
1998 May,0.55209054
1998 Jun,0.60336564
1998 Jul,0.68124538
1998 Aug,0.67807535
1998 Sep,0.79489265
1998 Oct,0.7846239
1998 Nov,0.8130086999999999
1998 Dec,0.9777322999999999
1999 Jan,0.89308148
1999 Feb,0.51269597
1999 Mar,0.65299589
1999 Apr,0.5739763999999999
1999 May,0.6392384200000001
1999 Jun,0.70387188
1999 Jul,0.77064824
1999 Aug,0.8461858800000001
1999 Sep,0.89272889
1999 Oct,0.89789988
1999 Nov,0.9472806899999999
1999 Dec,1.05070727
2000 Jan,0.9696556700000001
2000 Feb,0.57329151
2000 Mar,0.61850684
2000 Apr,0.61899573
2000 May,0.6652092199999999
2000 Jun,0.7265201499999999
2000 Jul,0.8558649399999999
2000 Aug,0.86598429
2000 Sep,0.82524883
2000 Oct,0.9554210200000001
2000 Nov,0.93859596
2000 Dec,1.01302442
2001 Jan,1.04380535
2001 Feb,0.51064725
2001 Mar,0.6725690099999999
2001 Apr,0.64847006
2001 May,0.70411469
2001 Jun,0.69943075
2001 Jul,0.85192587
2001 Aug,0.9077052000000001
2001 Sep,0.86744447
2001 Oct,1.02429281
2001 Nov,1.10959022
2001 Dec,1.0123132300000002
2002 Jan,1.14586761
2002 Feb,0.57558438
2002 Mar,0.64116459
2002 Apr,0.6798620700000001
2002 May,0.7679383999999999
2002 Jun,0.75209591
2002 Jul,0.9180635899999999
2002 Aug,0.92436753
2002 Sep,1.01319767
2002 Oct,1.02697609
2002 Nov,1.00679597
2002 Dec,1.10277568
2003 Jan,1.0781448699999998
2003 Feb,0.57829619
2003 Mar,0.64333332
2003 Apr,0.66336735
2003 May,0.750516
2003 Jun,0.80074564
2003 Jul,0.91636103
2003 Aug,0.91688682
2003 Sep,1.08465893
2003 Oct,1.1506482199999999
2003 Nov,1.05083821
2003 Dec,1.22323454
2004 Jan,1.1301252099999999
2004 Feb,0.6679886700000001
2004 Mar,0.74901428
2004 Apr,0.73998602
2004 May,0.79512863
2004 Jun,0.85680282
2004 Jul,1.00159317
2004 Aug,0.99486433
2004 Sep,1.134432
2004 Oct,1.181011
2004 Nov,1.216037
2004 Dec,1.257238
2005 Jan,1.17069
2005 Feb,0.597639
2005 Mar,0.65259
2005 Apr,0.670505
2005 May,0.695248
2005 Jun,0.842263
2005 Jul,0.874336
2005 Aug,1.006497
2005 Sep,1.094736
2005 Oct,1.027043
2005 Nov,1.149232
2005 Dec,1.160712
2006 Jan,1.230691
2006 Feb,0.587135
2006 Mar,0.706959
2006 Apr,0.639641
2006 May,0.807405
2006 Jun,0.79797
2006 Jul,0.884312
2006 Aug,1.049648
2006 Sep,0.995709
2006 Oct,1.168253
2006 Nov,1.108038
2006 Dec,1.120053
2007 Jan,1.223319
2007 Feb,0.597753
2007 Mar,0.704398
2007 Apr,0.56176
2007 May,0.745258
2007 Jun,0.837934
2007 Jul,0.954144
2007 Aug,1.07821949
2007 Sep,1.11098161
2007 Oct,1.10997914
2007 Nov,1.1635343
2007 Dec,1.176589
2008 Jan,1.219941
2008 Feb,0.761822
2008 Mar,0.649435
2008 Apr,0.827887
2008 May,0.816255
2008 Jun,0.762137
