index,value
0001-01-04,1157
0001-01-05,1118
0001-01-06,1310
0001-01-07,874
0001-01-08,890
0001-01-09,1437
0001-01-10,1263
0001-01-11,1187
0001-01-12,1506
0001-01-13,1448
0001-01-14,1054
0001-01-15,663
0001-01-16,988
0001-01-17,1241
0001-01-18,1207
0001-01-19,1288
0001-01-20,1045
0001-01-21,842
0001-01-22,687
0001-01-23,1136
0001-01-24,1348
0001-01-25,1241
0001-01-26,1164
0001-01-27,1029
0001-01-28,909
0001-01-29,650
0001-01-30,1275
0001-01-31,1203
0001-02-01,1233
0001-02-02,1014
0001-02-03,1040
0001-02-04,825
0001-02-05,593
0001-02-06,875
0001-02-07,1096
0001-02-08,1059
0001-02-09,1105
0001-02-10,949
0001-02-11,652
0001-02-12,546
0001-02-13,762
0001-02-14,1082
0001-02-15,1305
0001-02-16,1232
0001-02-17,1089
0001-02-18,735
0001-02-19,775
0001-02-20,1381
0001-02-21,1320
0001-02-22,1398
0001-02-23,991
0001-02-24,1052
0001-02-25,669
0001-02-26,422
0001-02-27,779
0001-02-28,1150
0001-03-01,1001
0001-03-02,1582
0001-03-03,847
0001-03-04,721
0001-03-05,541
0001-03-06,710
0001-03-07,1649
0001-03-08,919
0001-03-09,1008
0001-03-10,1e3
0001-03-11,465
0001-03-12,448
0001-03-13,721
0001-03-14,1030
0001-03-15,915
0001-03-16,870
0001-03-17,795
0001-03-18,667
0001-03-19,487
0001-03-20,741
0001-03-21,1030
0001-03-22,1287
0001-03-23,1061
0001-03-24,971
0001-03-25,549
0001-03-26,509
0001-03-27,1046
0001-03-28,1514
0001-03-29,1655
0001-03-30,1489
0001-03-31,1352
0001-04-01,828
0001-04-02,591
0001-04-03,820
0001-04-04,1409
0001-04-05,1819
0001-04-06,1243
0001-04-07,1157
0001-04-08,626
0001-04-09,437
0001-04-10,842
0001-04-11,1118
0001-04-12,985
0001-04-13,983
0001-04-14,871
0001-04-15,591
0001-04-16,533
0001-04-17,937
0001-04-18,1312
0001-04-19,1412
0001-04-20,1183
0001-04-21,955
0001-04-22,629
0001-04-23,561
0001-04-24,833
0001-04-25,1067
0001-04-26,987
0001-04-27,976
0001-04-28,1218
0001-04-29,853
0001-04-30,432
0001-05-01,869
0001-05-02,1152
0001-05-03,944
0001-05-04,947
0001-05-05,847
0001-05-06,626
0001-05-07,558
0001-05-08,2300
0001-05-09,2469
0001-05-10,1411
0001-05-11,1178
0001-05-12,1111
0001-05-13,641
0001-05-14,867
0001-05-15,1359
0001-05-16,1730
0001-05-17,1529
0001-05-18,1168
0001-05-19,1222
0001-05-20,889
0001-05-21,648
0001-05-22,1023
0001-05-23,1453
0001-05-24,1260
0001-05-25,1190
0001-05-26,1207
0001-05-27,706
0001-05-28,929
0001-05-29,1879
0001-05-30,1579
0001-05-31,1389
0001-06-01,1352
0001-06-02,1118
0001-06-03,944
0001-06-04,734
0001-06-05,1048
0001-06-06,1431
0001-06-07,1296
0001-06-08,1126
0001-06-09,1158
0001-06-10,872
0001-06-11,756
0001-06-12,1221
0001-06-13,1620
0001-06-14,1528
0001-06-15,1486
0001-06-16,1639
0001-06-17,1114
0001-06-18,874
0001-06-19,1161
0001-06-20,1557
0001-06-21,1740
0001-06-22,1598
0001-06-23,1397
0001-06-24,1153
0001-06-25,797
0001-06-26,1320
0001-06-27,1747
0001-06-28,1944
0001-06-29,1664
0001-06-30,1516
0001-07-01,1077
0001-07-02,777
0001-07-03,1139
0001-07-04,1671
0001-07-05,1590
0001-07-06,1491
0001-07-07,1438
0001-07-08,1060
0001-07-09,789
0001-07-10,1270
0001-07-11,1384
0001-07-12,1490
0001-07-13,1554
0001-07-14,1569
0001-07-15,1422
0001-07-16,888
0001-07-17,1276
0001-07-18,1650
0001-07-19,1699
0001-07-20,1464
0001-07-21,1495
0001-07-22,1030
0001-07-23,812
0001-07-24,1231
0001-07-25,1465
0001-07-26,1707
0001-07-27,1678
0001-07-28,1632
0001-07-29,1678
0001-07-30,958
0001-07-31,1529
0001-08-01,2368
0001-08-02,1811
0001-08-03,1558
0001-08-04,1239
0001-08-05,995
0001-08-06,1009
0001-08-07,1313
0001-08-08,1544
0001-08-09,2422
0001-08-10,1621
0001-08-11,1512
0001-08-12,1278
0001-08-13,955
0001-08-14,1384
0001-08-15,2569
0001-08-16,2140
0001-08-17,2235
0001-08-18,1719
0001-08-19,1143
0001-08-20,955
0001-08-21,1412
0001-08-22,1965
0001-08-23,1789
0001-08-24,2198
0001-08-25,1636
0001-08-26,859
0001-08-27,743
0001-08-28,974
0001-08-29,1609
0001-08-30,1165
0001-08-31,848
0001-09-01,1030
0001-09-02,1410
0001-09-03,879
0001-09-04,1259
0001-09-05,1254
0001-09-06,1026
0001-09-07,768
0001-09-08,736
0001-09-09,863
0001-09-10,759
0001-09-11,1071
0001-09-12,1455
0001-09-13,1635
0001-09-14,1537
0001-09-15,1388
0001-09-16,1144
0001-09-17,728
0001-09-18,1335
