index,First.Class,Business.Class,Economy.Class
1987 W26,1.912,NA,20.167
1987 W27,1.848,NA,20.161
1987 W28,1.856,NA,19.993
1987 W29,2.142,NA,20.986
1987 W30,2.118,NA,20.497
1987 W31,2.048,NA,20.77
1987 W32,2.111,NA,21.111
1987 W33,2.199,NA,20.675
1987 W34,2.231,NA,22.092
1987 W35,2.081,NA,20.772
1987 W36,2.213,NA,21.642
1987 W37,2.131,NA,21.911
1987 W38,NA,NA,NA
1987 W39,2.131,NA,23.777
1987 W40,2.034,NA,22.658
1987 W41,2.19,NA,23.515
1987 W42,2.262,NA,21.384
1987 W43,2.579,NA,24.344
1987 W44,2.367,NA,21.137
1987 W45,2.432,NA,23.069
1987 W46,2.64,NA,23.664
1987 W47,2.614,NA,23.219
1987 W48,2.569,NA,23.192
1987 W49,2.523,NA,23.475
1987 W50,2.26,NA,22.377
1987 W51,1.117,NA,16.606
1987 W52,0.59,NA,13.987
1987 W53,0.966,NA,16.251
1988 W01,1.235,NA,18.439
1988 W02,2.001,NA,20.262
1988 W03,1.696,NA,19.535
1988 W04,2.089,NA,22.467
1988 W05,2.716,NA,24.559
1988 W06,2.483,NA,24.591
1988 W07,2.461,NA,24.511
1988 W08,2.533,NA,24.524
1988 W09,2.273,NA,23.119
1988 W10,2.273,NA,23.106
1988 W11,2.37,NA,23.292
1988 W12,1.782,NA,21.566
1988 W13,1.385,NA,18.565
1988 W14,2.322,NA,24.361
1988 W15,2.34,NA,22.983
1988 W16,2.203,NA,21.062
1988 W17,2.3,NA,21.766
1988 W18,2.125,NA,22.285
1988 W19,2.345,NA,22.867
1988 W20,2.224,NA,23.276
1988 W21,1.952,NA,20.924
1988 W22,2.212,NA,21.716
1988 W23,2.028,NA,20.908
1988 W24,1.906,NA,21.41
1988 W25,1.834,NA,21.361
1988 W26,1.797,NA,22.412
1988 W27,1.869,NA,21.29
1988 W28,1.886,NA,22.247
1988 W29,2.131,NA,22.445
1988 W30,2.021,NA,21.26
1988 W31,2.199,NA,22.771
1988 W32,2.14,NA,23.723
1988 W33,2.19,NA,23.757
1988 W34,1.917,NA,23.482
1988 W35,2.096,NA,23.653
1988 W36,2.254,NA,26.054
1988 W37,2.251,NA,25.695
1988 W38,2.072,NA,26.72
1988 W39,0.993,NA,15.033
1988 W40,1.675,NA,22.34
1988 W41,1.463,NA,19.297
1988 W42,2.256,NA,23.761
1988 W43,2.216,NA,22.15
1988 W44,2.218,NA,22.236
1988 W45,2.568,NA,23.157
1988 W46,2.483,NA,24.387
1988 W47,2.545,NA,23.844
1988 W48,2.599,NA,23.681
1988 W49,2.483,NA,24.456
1988 W50,1.793,NA,19.899
1988 W51,0.516,NA,13.662
1988 W52,0.873,NA,15.698
1989 W01,1.195,NA,18.189
1989 W02,1.525,NA,19.448
1989 W03,1.906,NA,20.891
1989 W04,2.246,NA,22.284
1989 W05,2.247,NA,23.247
1989 W06,2.316,NA,24.44
1989 W07,2.276,NA,22.519
1989 W08,2.403,NA,22.818
1989 W09,2.432,NA,23.472
1989 W10,2.49,NA,24.117
1989 W11,2.013,NA,24.435
1989 W12,1.508,NA,20.589
1989 W13,2.251,NA,23.427
1989 W14,2.079,NA,20.923
1989 W15,2.21,NA,22.959
1989 W16,1.96,NA,19.152
1989 W17,2.251,NA,22.011
1989 W18,2.013,NA,20.228
1989 W19,2.252,NA,21.332
1989 W20,2.067,NA,20.5
1989 W21,1.831,NA,19.09
1989 W22,2.069,NA,21.692
1989 W23,1.953,NA,20.157
1989 W24,2.199,NA,22.231
1989 W25,1.771,NA,20.914
1989 W26,1.696,NA,21.454
1989 W27,1.788,NA,21.345
1989 W28,1.636,1.524,19.26
1989 W29,1.741,2.212,18.781
1989 W30,1.597,1.777,17.445
1989 W31,1.943,2.552,19.628
1989 W32,1.66,1.889,17.692
1989 W33,0.616,0.851,7.046
1989 W34,0,0,0
1989 W35,0,0,0
1989 W36,0,0,0
1989 W37,0,0,0
1989 W38,0,0,0
1989 W39,0,0,0
1989 W40,0,0,0
1989 W41,0.053,0.618,11.569
1989 W42,0.04,0.565,11.973
1989 W43,0.354,0.414,11.123
1989 W44,0.505,0.543,11.479
1989 W45,0.711,0.712,16.969
1989 W46,0.723,0.652,15.997
1989 W47,0.796,0.709,16.555
1989 W48,0.856,0.793,17.959
1989 W49,0.845,0.838,18.868
1989 W50,0.807,0.763,15.4
1989 W51,0.276,0.266,10.544
1990 W01,0.339,0.362,12.755
1990 W02,0.581,0.665,19.02
1990 W03,0.894,0.957,20.077
1990 W04,0.936,1.145,22.124
1990 W05,1.111,1.312,19.92
1990 W06,1.446,1.689,17.215
1990 W07,1.517,1.762,17.662
1990 W08,1.513,2.16,19.828
1990 W09,1.508,1.877,18.754
1990 W10,1.636,2.048,20.39
1990 W11,1.38,1.824,18.383
1990 W12,1.453,1.986,19.377
1990 W13,1.459,2.032,20.133
1990 W14,1.538,1.956,19.21
1990 W15,1.327,1.503,20.736
1990 W16,1.027,1.256,18.821
1990 W17,1.365,1.752,20.952
1990 W18,1.475,1.878,20.565
1990 W19,1.365,1.945,20.311
1990 W20,1.351,1.735,17.859
1990 W21,1.231,1.825,19.385
1990 W22,1.447,1.715,17.962
1990 W23,1.408,1.594,19.569
1990 W24,1.089,1.377,17.894
1990 W25,1.357,1.686,18.114
1990 W26,1.287,1.56,19.17
1990 W27,1.087,1.692,18.713
1990 W28,1.017,1.597,20.52
1990 W29,1.09,1.729,20.345
1990 W30,1.343,1.733,20.015
1990 W31,1.164,1.813,18.027
1990 W32,1.169,1.725,19.697
1990 W33,1.465,1.909,19.897
1990 W34,1.242,1.765,19.213
1990 W35,1.22,1.781,19.773
1990 W36,1.231,1.717,20.128
1990 W37,1.266,1.884,21.181
1990 W38,1.337,1.881,21.933
1990 W39,1.079,1.433,20.049
1990 W40,1.223,1.534,23.358
1990 W41,1.351,1.926,21.12
1990 W42,1.269,1.87,21.97
1990 W43,1.382,1.942,21.411
