index,value
1896-01-01T00:00:01Z,54.2
1900-01-01T00:00:01Z,49.4
1904-01-01T00:00:01Z,49.2
1908-01-01T00:00:01Z,50
1912-01-01T00:00:01Z,48.2
1916-01-01T00:00:01Z,NA
1920-01-01T00:00:01Z,49.6
1924-01-01T00:00:01Z,47.6
1928-01-01T00:00:01Z,47.8
1932-01-01T00:00:01Z,46.2
1936-01-01T00:00:01Z,46.5
1940-01-01T00:00:01Z,NA
1944-01-01T00:00:01Z,NA
1948-01-01T00:00:01Z,46.2
1952-01-01T00:00:01Z,45.9
1956-01-01T00:00:01Z,46.7
1960-01-01T00:00:01Z,44.9
1964-01-01T00:00:01Z,45.1
1968-01-01T00:00:01Z,43.8
1972-01-01T00:00:00Z,44.66
1976-01-01T00:00:00Z,44.26
1980-01-01T00:00:00Z,44.6
1984-01-01T00:00:00Z,44.27
1988-01-01T00:00:00Z,43.87
1992-01-01T00:00:00Z,43.5
1996-01-01T00:00:00Z,43.49
2000-01-01T00:00:00Z,43.84
2004-01-01T00:00:00Z,44
2008-01-01T00:00:00Z,43.75
2012-01-01T00:00:00Z,43.94
2016-01-01T00:00:00Z,43.03
