index,value
Jan 1962,589
Feb 1962,561
Mar 1962,640
Apr 1962,656
May 1962,727
Jun 1962,697
Jul 1962,640
Aug 1962,599
Sep 1962,568
Oct 1962,577
Nov 1962,553
Dec 1962,582
Jan 1963,600
Feb 1963,566
Mar 1963,653
Apr 1963,673
May 1963,742
Jun 1963,716
Jul 1963,660
Aug 1963,617
Sep 1963,583
Oct 1963,587
Nov 1963,565
Dec 1963,598
Jan 1964,628
Feb 1964,618
Mar 1964,688
Apr 1964,705
May 1964,770
Jun 1964,736
Jul 1964,678
Aug 1964,639
Sep 1964,604
Oct 1964,611
Nov 1964,594
Dec 1964,634
Jan 1965,658
Feb 1965,622
Mar 1965,709
Apr 1965,722
May 1965,782
Jun 1965,756
Jul 1965,702
Aug 1965,653
Sep 1965,615
Oct 1965,621
Nov 1965,602
Dec 1965,635
Jan 1966,677
Feb 1966,635
Mar 1966,736
Apr 1966,755
May 1966,811
Jun 1966,798
Jul 1966,735
Aug 1966,697
Sep 1966,661
Oct 1966,667
Nov 1966,645
Dec 1966,688
Jan 1967,713
Feb 1967,667
Mar 1967,762
Apr 1967,784
May 1967,837
Jun 1967,817
Jul 1967,767
Aug 1967,722
Sep 1967,681
Oct 1967,687
Nov 1967,660
Dec 1967,698
Jan 1968,717
Feb 1968,696
Mar 1968,775
Apr 1968,796
May 1968,858
Jun 1968,826
Jul 1968,783
Aug 1968,740
Sep 1968,701
Oct 1968,706
Nov 1968,677
Dec 1968,711
Jan 1969,734
Feb 1969,690
Mar 1969,785
Apr 1969,805
May 1969,871
Jun 1969,845
Jul 1969,801
Aug 1969,764
Sep 1969,725
Oct 1969,723
Nov 1969,690
Dec 1969,734
Jan 1970,750
Feb 1970,707
Mar 1970,807
Apr 1970,824
May 1970,886
Jun 1970,859
Jul 1970,819
Aug 1970,783
Sep 1970,740
Oct 1970,747
Nov 1970,711
Dec 1970,751
Jan 1971,804
Feb 1971,756
Mar 1971,860
Apr 1971,878
May 1971,942
Jun 1971,913
Jul 1971,869
Aug 1971,834
Sep 1971,790
Oct 1971,800
Nov 1971,763
Dec 1971,800
Jan 1972,826
Feb 1972,799
Mar 1972,890
Apr 1972,900
May 1972,961
Jun 1972,935
Jul 1972,894
Aug 1972,855
Sep 1972,809
Oct 1972,810
Nov 1972,766
Dec 1972,805
Jan 1973,821
Feb 1973,773
Mar 1973,883
Apr 1973,898
May 1973,957
Jun 1973,924
Jul 1973,881
Aug 1973,837
Sep 1973,784
Oct 1973,791
Nov 1973,760
Dec 1973,802
Jan 1974,828
Feb 1974,778
Mar 1974,889
Apr 1974,902
May 1974,969
Jun 1974,947
Jul 1974,908
Aug 1974,867
Sep 1974,815
Oct 1974,812
Nov 1974,773
Dec 1974,813
Jan 1975,834
Feb 1975,782
Mar 1975,892
Apr 1975,903
May 1975,966
Jun 1975,937
Jul 1975,896
Aug 1975,858
Sep 1975,817
Oct 1975,827
Nov 1975,797
Dec 1975,843
