index,value
1965,111.009134615
1966,130.828434066
1967,141.287087912
1968,154.227774725
1969,162.740865385
1970,192.166483516
1971,240.799725275
1972,304.21739011
1973,384.004567308
1974,429.662156593
1975,359.316929945
1976,437.251854396
1977,468.400789835
1978,424.435336538
1979,487.979429945
1980,509.828447802
1981,506.347252747
1982,340.184237416
1983,240.258921039
1984,219.032787575
1985,172.07466324
1986,252.590092166
1987,221.07107741
1988,276.518773485
1989,271.147951746
1990,342.618600452
1991,428.355835697
1992,442.39455335
1993,432.785148219
1994,437.249718628
1995,437.209159929
1996,445.364098092
1997,453.195010427
1998,454.409641012
1999,422.378905779
2e3,456.037121728
2001,440.386604674
2002,425.194372519
2003,486.20517351
2004,500.429086073
2005,521.27590917
2006,508.947617045
2007,488.888857729
2008,509.870574978
2009,456.722912348
2010,473.816602915
2011,525.950870565
2012,549.833807597
2013,542.340469826
