index,value
1956 Q1,3.923
1956 Q2,4.436
1956 Q3,4.806
1956 Q4,4.418
1957 Q1,4.339
1957 Q2,4.811
1957 Q3,5.259
1957 Q4,4.735
1958 Q1,4.608
1958 Q2,5.196
1958 Q3,5.609
1958 Q4,4.977
1959 Q1,4.883
1959 Q2,5.744
1959 Q3,6.035
1959 Q4,5.514
1960 Q1,5.387
1960 Q2,6.211
1960 Q3,6.659
1960 Q4,5.983
1961 Q1,5.709
1961 Q2,6.458
1961 Q3,6.875
1961 Q4,6.162
1962 Q1,6.098
1962 Q2,7.075
1962 Q3,7.595
1962 Q4,6.891
1963 Q1,6.707
1963 Q2,7.874
1963 Q3,8.555
1963 Q4,7.503
1964 Q1,7.469
1964 Q2,8.829
1964 Q3,9.513
1964 Q4,8.415
1965 Q1,8.17
1965 Q2,9.503
1965 Q3,10.306
1965 Q4,9.077
1966 Q1,8.65
1966 Q2,10.18
1966 Q3,11.234
1966 Q4,9.836
1967 Q1,9.49
1967 Q2,10.991
1967 Q3,12.17
1967 Q4,10.47
1968 Q1,10.087
1968 Q2,11.858
1968 Q3,13.198
1968 Q4,11.413
1969 Q1,11.136
1969 Q2,13.04
1969 Q3,14.248
1969 Q4,12.759
1970 Q1,12.328
1970 Q2,14.493
1970 Q3,15.664
1970 Q4,13.781
1971 Q1,13.299
1971 Q2,15.23
1971 Q3,16.667
1971 Q4,14.484
1972 Q1,13.838
1972 Q2,15.919
1972 Q3,17.149
1972 Q4,15.564
1973 Q1,15.024
1973 Q2,17.064
1973 Q3,18.512
1973 Q4,16.467
1974 Q1,16.249
1974 Q2,18.515
1974 Q3,20.377
1974 Q4,17.681
1975 Q1,16.692
1975 Q2,19.184
1975 Q3,20.078
1975 Q4,18.26
1976 Q1,18.023
1976 Q2,20.234
1976 Q3,22.272
1976 Q4,19.684
1977 Q1,19.031
1977 Q2,21.545
1977 Q3,23.27
1977 Q4,20.107
1978 Q1,20.084
1978 Q2,22.634
1978 Q3,24.494
1978 Q4,21.396
1979 Q1,21.323
1979 Q2,23.644
1979 Q3,25.994
1979 Q4,22.802
1980 Q1,22.604
1980 Q2,24.51
1980 Q3,26.69
1980 Q4,24.132
1981 Q1,23.639
1981 Q2,26.32
1981 Q3,28.345
1981 Q4,24.89
1982 Q1,24.675
1982 Q2,27.122
1982 Q3,28.59
1982 Q4,25.371
1983 Q1,24.687
1983 Q2,27.285
1983 Q3,29.29
1983 Q4,26.684
1984 Q1,26.641
1984 Q2,29.042
1984 Q3,31.856
1984 Q4,28.343
1985 Q1,28.982
1985 Q2,30.838
1985 Q3,33.165
1985 Q4,29.648
1986 Q1,29.506
1986 Q2,32.002
1986 Q3,34.375
1986 Q4,31.046
1987 Q1,31.015
1987 Q2,33.685
1987 Q3,35.85
1987 Q4,33.211
1988 Q1,33.142
1988 Q2,34.664
1988 Q3,37.154
1988 Q4,35.303
1989 Q1,36.905
1989 Q2,37.333
1989 Q3,40.413
1989 Q4,36.579
1990 Q1,37.016
1990 Q2,39.103
1990 Q3,41.067
1990 Q4,37.653
1991 Q1,37.554
1991 Q2,38.752
1991 Q3,41.424
1991 Q4,38.101
1992 Q1,38.332
1992 Q2,39.774
1992 Q3,42.246
1992 Q4,38.498
1993 Q1,39.46
1993 Q2,41.356
1993 Q3,42.949
1993 Q4,40.974
1994 Q1,40.162
1994 Q2,41.199
1994 Q3,44.095
1994 Q4,41.745
1995 Q1,41.768
1995 Q2,43.686
1995 Q3,46.022
1995 Q4,42.8
1996 Q1,43.661
1996 Q2,44.707
1996 Q3,46.326
1996 Q4,43.346
1997 Q1,43.938
1997 Q2,45.828
1997 Q3,48.448
1997 Q4,46.096
1998 Q1,46.198
1998 Q2,47.237
1998 Q3,49.041
1998 Q4,46.192
1999 Q1,48.089
1999 Q2,48.227
1999 Q3,49.784
1999 Q4,47.588
2000 Q1,49.32
2000 Q2,50.67
2000 Q3,52.623
2000 Q4,49.35
2001 Q1,51.658
2001 Q2,51.103
2001 Q3,52.226
2001 Q4,50.778
2002 Q1,50.639
2002 Q2,51.486
2002 Q3,53.299
2002 Q4,51.646
2003 Q1,51.415
2003 Q2,51.379
2003 Q3,54.808
2003 Q4,52.453
2004 Q1,54.561
2004 Q2,54.644
2004 Q3,55.915
2004 Q4,52.85
2005 Q1,55.035
2005 Q2,55.117
2005 Q3,56.043
2005 Q4,54.992
2006 Q1,57.112
2006 Q2,57.157
2006 Q3,58.4
2006 Q4,56.249
2007 Q1,56.244
2007 Q2,55.036
2007 Q3,59.806
2007 Q4,56.411
2008 Q1,59.118
2008 Q2,56.66
2008 Q3,64.067
2008 Q4,59.045
2009 Q1,58.368
2009 Q2,57.471
2009 Q3,58.394
2009 Q4,57.336
2010 Q1,58.309
2010 Q2,58.041
