index,value
1956 Q1,0.465
1956 Q2,0.532
1956 Q3,0.561
1956 Q4,0.57
1957 Q1,0.529
1957 Q2,0.604
1957 Q3,0.603
1957 Q4,0.582
1958 Q1,0.554
1958 Q2,0.62
1958 Q3,0.646
1958 Q4,0.637
1959 Q1,0.573
1959 Q2,0.673
1959 Q3,0.69
1959 Q4,0.681
1960 Q1,0.621
1960 Q2,0.698
1960 Q3,0.753
1960 Q4,0.728
1961 Q1,0.688
1961 Q2,0.737
1961 Q3,0.742
1961 Q4,0.692
1962 Q1,0.637
1962 Q2,0.757
1962 Q3,0.783
1962 Q4,0.757
1963 Q1,0.674
1963 Q2,0.774
1963 Q3,0.835
1963 Q4,0.838
1964 Q1,0.797
1964 Q2,0.904
1964 Q3,0.949
1964 Q4,0.975
1965 Q1,0.902
1965 Q2,0.974
1965 Q3,0.969
1965 Q4,0.967
1966 Q1,0.849
1966 Q2,0.961
1966 Q3,0.966
1966 Q4,0.922
1967 Q1,0.836
1967 Q2,0.998
1967 Q3,1.025
1967 Q4,0.971
1968 Q1,0.892
1968 Q2,0.973
1968 Q3,1.047
1968 Q4,1.017
1969 Q1,0.948
1969 Q2,1.032
1969 Q3,1.19
1969 Q4,1.136
1970 Q1,1.049
1970 Q2,1.134
1970 Q3,1.229
1970 Q4,1.188
1971 Q1,1.058
1971 Q2,1.209
1971 Q3,1.199
1971 Q4,1.253
1972 Q1,1.07
1972 Q2,1.282
1972 Q3,1.303
1972 Q4,1.281
1973 Q1,1.148
1973 Q2,1.305
1973 Q3,1.342
1973 Q4,1.452
1974 Q1,1.184
1974 Q2,1.352
1974 Q3,1.316
1974 Q4,1.353
1975 Q1,1.121
1975 Q2,1.297
1975 Q3,1.318
1975 Q4,1.281
1976 Q1,1.109
1976 Q2,1.299
1976 Q3,1.341
1976 Q4,1.29
1977 Q1,1.101
1977 Q2,1.284
1977 Q3,1.321
1977 Q4,1.317
1978 Q1,1.122
1978 Q2,1.261
1978 Q3,1.312
1978 Q4,1.298
1979 Q1,1.205
1979 Q2,1.302
1979 Q3,1.377
1979 Q4,1.359
1980 Q1,1.232
1980 Q2,1.386
1980 Q3,1.44
1980 Q4,1.439
1981 Q1,1.282
1981 Q2,1.573
1981 Q3,1.533
1981 Q4,1.641
1982 Q1,1.337
1982 Q2,1.575
1982 Q3,1.475
1982 Q4,1.357
1983 Q1,1.086
1983 Q2,1.158
1983 Q3,1.279
1983 Q4,1.313
1984 Q1,1.166
1984 Q2,1.373
1984 Q3,1.456
1984 Q4,1.495
1985 Q1,1.251
1985 Q2,1.456
1985 Q3,1.631
1985 Q4,1.555
1986 Q1,1.375
1986 Q2,1.546
1986 Q3,1.568
1986 Q4,1.561
1987 Q1,1.332
1987 Q2,1.458
1987 Q3,1.501
1987 Q4,1.615
1988 Q1,1.418
1988 Q2,1.625
1988 Q3,1.77
1988 Q4,1.791
1989 Q1,1.621
1989 Q2,1.719
1989 Q3,1.972
1989 Q4,1.894
1990 Q1,1.565
1990 Q2,1.645
1990 Q3,1.658
1990 Q4,1.668
1991 Q1,1.343
1991 Q2,1.441
1991 Q3,1.444
1991 Q4,1.497
1992 Q1,1.289
1992 Q2,1.501
1992 Q3,1.539
1992 Q4,1.568
1993 Q1,1.45
1993 Q2,1.668
1993 Q3,1.648
1993 Q4,1.863
1994 Q1,1.468
1994 Q2,1.755
1994 Q3,1.962
1994 Q4,1.833
1995 Q1,1.626
1995 Q2,1.703
1995 Q3,1.733
1995 Q4,1.545
1996 Q1,1.526
1996 Q2,1.593
1996 Q3,1.706
1996 Q4,1.699
1997 Q1,1.511
1997 Q2,1.785
1997 Q3,1.826
1997 Q4,1.83
1998 Q1,1.719
1998 Q2,1.861
1998 Q3,1.956
1998 Q4,2.067
1999 Q1,1.737
1999 Q2,1.944
1999 Q3,2.005
1999 Q4,2.027
2000 Q1,1.835
2000 Q2,2.07
2000 Q3,1.898
2000 Q4,1.652
2001 Q1,1.554
2001 Q2,1.717
2001 Q3,1.679
2001 Q4,1.836
2002 Q1,1.729
2002 Q2,1.992
2002 Q3,2.03
2002 Q4,1.978
2003 Q1,1.831
2003 Q2,1.892
2003 Q3,2.227
2003 Q4,2.09
2004 Q1,1.963
2004 Q2,2.18
2004 Q3,2.307
2004 Q4,2.157
2005 Q1,1.98
2005 Q2,2.481
2005 Q3,2.34
2005 Q4,2.265
2006 Q1,2.027
2006 Q2,2.278
2006 Q3,2.427
2006 Q4,2.451
2007 Q1,2.14
2007 Q2,2.362
2007 Q3,2.536
2007 Q4,2.562
2008 Q1,2.183
2008 Q2,2.558
2008 Q3,2.612
2008 Q4,2.373
2009 Q1,1.963
2009 Q2,2.16
2009 Q3,2.325
2009 Q4,2.273
2010 Q1,1.904
2010 Q2,2.401
2010 Q3,2.494
2010 Q4,2.296
2011 Q1,2.055
2011 Q2,2.273
2011 Q3,2.499
2011 Q4,2.39
2012 Q1,2.067
2012 Q2,2.223
2012 Q3,2.451
2012 Q4,2.503
2013 Q1,2.049
2013 Q2,2.528
2013 Q3,2.637
2013 Q4,2.565
2014 Q1,2.229
