index,value
1875,213.13333333333333
1876,109.28333333333333
1877,92.85833333333333
1878,22.21666666666667
1879,36.333333333333336
1880,446.75
1881,679.4916666666667
1882,968.025
1883,1148.9083333333333
1884,1034.125
1885,810.2083333333334
1886,379.40833333333336
1887,177.25833333333333
1888,87.925
1889,76.69166666666666
1890,98.76666666666667
1891,566.4416666666667
1892,1211.275
1893,1460.625
1894,1281.5416666666667
1895,973.4333333333333
1896,547.3916666666667
1897,511.65
1898,374.65833333333336
1899,109.98333333333333
1900,74.30833333333334
1901,27.858333333333334
1902,59.475
1903,338.6
1904,488.175
1905,1195.8833333333334
1906,774.9833333333333
1907,1092.1083333333333
1908,697.4833333333333
1909,691.525
1910,266.0083333333333
1911,64.40833333333333
1912,37.333333333333336
1913,7.525
1914,152.38333333333333
1915,697.7666666666667
1916,725.4583333333334
1917,1533.925
1918,1112.5666666666666
1919,1054.6833333333334
1920,617.2583333333333
1921,419.6166666666667
1922,251.95833333333334
1923,54.65833333333333
1924,278.0083333333333
1925,825.075
1926,1263.15
1927,1060.8
1928,1388.9166666666667
1929,1238.9166666666667
1930,516.6083333333333
1931,279.06666666666666
1932,163.15
1933,91.25
1934,118.225
1935,622.075
1936,1140.8416666666667
1937,2072.775
1938,2015.2333333333333
1939,1576.8333333333333
1940,1037.1666666666667
1941,658.125
1942,427.3333333333333
1943,296.76666666666665
1944,124.64999999999999
1945,426.5
1946,1823.9
1947,2634.05
1948,1974.6
1949,2139.991666666667
1950,1227.3416666666667
1951,1135.2583333333332
1952,402.85
1953,145.1
1954,34.641666666666666
1955,552.35
1956,2394.6916666666666
1957,3048.475
1958,3011.266666666667
1959,2872.9416666666666
1960,1641.2166666666667
1961,613.5
1962,463.51666666666665
1963,287.8333333333333
1964,53.90833333333333
1965,113.30833333333334
1966,592.5583333333333
1967,1519.1416666666667
1968,1569.7583333333334
1969,1450.1333333333334
1970,1601.2583333333334
1971,990.2
1972,916.7
1973,457.55
1974,398.85833333333335
1975,166.40833333333333
1976,169.775
1977,347.0416666666667
1978,1368.5166666666667
1979,2194.525
1980,2160.7166666666667
1981,2270.241666666667
1982,2283.3
1983,944
1984,811.3166666666667
1985,180.15
1986,124.7
1987,296.81666666666666
1988,1345.2666666666667
1989,2579.225
1990,2048.6833333333334
1991,2470.1833333333334
1992,1349.2083333333333
1993,696.2
1994,340.39166666666665
1995,159.63333333333333
1996,81.89999999999999
1997,210.24166666666667
1998,763.075
1999,1162.0083333333332
2e3,1614.2166666666667
2001,1704.0916666666667
2002,1828.7333333333333
2003,1099.2416666666666
2004,683.775
2005,542.575
2006,245.10833333333335
2007,133.34166666666667
2008,22.808333333333334
2009,26.558333333333334
2010,214.29166666666666
2011,749.5666666666666
2012,796.8833333333333
2013,860.775
2014,1252.15
2015,618.8083333333333
