index,value
1973 Jan,160.218
1973 Feb,143.539
1973 Mar,148.158
1973 Apr,139.589
1973 May,147.395
1973 Jun,161.244
1973 Jul,173.733
1973 Aug,177.365
1973 Sep,156.875
1973 Oct,154.197
1973 Nov,148.138
1973 Dec,153.605
1974 Jan,157.555
1974 Feb,142.748
1974 Mar,150.342
1974 Apr,142.312
1974 May,153.813
1974 Jun,156.44
1974 Jul,178.247
1974 Aug,174.119
1974 Sep,152.467
1974 Oct,152.196
1974 Nov,150.071
1974 Dec,160.009
1975 Jan,164.623
1975 Feb,147.349
1975 Mar,155.76
1975 Apr,146.495
1975 May,153.531
1975 Jun,162.717
1975 Jul,177.057
1975 Aug,179.931
1975 Sep,155.441
1975 Oct,155.188
1975 Nov,153.035
1975 Dec,169.628
1976 Jan,178.609
1976 Feb,156.966
1976 Mar,164.467
1976 Apr,153.467
1976 May,157.664
1976 Jun,173.674
1976 Jul,186.691
1976 Aug,186.639
1976 Sep,165.237
1976 Oct,164.009
1976 Nov,169.346
1976 Dec,184.144
1977 Jan,196.665
1977 Feb,162.949
1977 Mar,169.437
1977 Apr,157.117
1977 May,169.596
1977 Jun,181.031
1977 Jul,199.168
1977 Aug,196.363
1977 Sep,176.498
1977 Oct,166.645
1977 Nov,167.388
1977 Dec,184.589
1978 Jan,198.108
1978 Feb,173.746
1978 Mar,173.461
1978 Apr,160.013
1978 May,175.549
1978 Jun,188.585
1978 Jul,202.947
1978 Aug,206.659
1978 Sep,185.802
1978 Oct,176.013
1978 Nov,176.389
1978 Dec,192.105
1979 Jan,209.987
1979 Feb,186.587
1979 Mar,183.154
1979 Apr,170.26
1979 May,178.409
1979 Jun,186.976
1979 Jul,202.522
1979 Aug,205.101
1979 Sep,180.975
1979 Oct,179.953
1979 Nov,177.77
1979 Dec,188.97
1980 Jan,200.296
1980 Feb,188.961
1980 Mar,187.745
1980 Apr,169.017
1980 May,176.066
1980 Jun,189.748
1980 Jul,217.058
1980 Aug,215.629
1980 Sep,191.698
1980 Oct,178.761
1980 Nov,178.771
1980 Dec,195.849
1981 Jan,206.758
1981 Feb,179.86
1981 Mar,185.834
1981 Apr,172.841
1981 May,178.139
1981 Jun,203.021
1981 Jul,220.655
1981 Aug,210.639
1981 Sep,187.051
1981 Oct,181.558
1981 Nov,175.792
1981 Dec,195.826
1982 Jan,209.694
1982 Feb,180.546
1982 Mar,187.968
1982 Apr,172.877
1982 May,177.48
1982 Jun,186.447
1982 Jul,210.865
1982 Aug,205.892
1982 Sep,180.875
1982 Oct,173.172
1982 Nov,173.599
1982 Dec,184.958
1983 Jan,195.871
1983 Feb,172.725
1983 Mar,182.769
1983 Apr,170.669
1983 May,174.725
1983 Jun,191.367
1983 Jul,220.447
1983 Aug,230.193
1983 Sep,195.817
1983 Oct,183.137
1983 Nov,183.171
1983 Dec,212.555
1984 Jan,216.924
1984 Feb,189.81
1984 Mar,200.387
1984 Apr,181.381
1984 May,192.55
1984 Jun,209.967
1984 Jul,221.526
1984 Aug,229.532
1984 Sep,195.411
1984 Oct,191.142
1984 Nov,190.602
1984 Dec,200.232
1985 Jan,228.148
1985 Feb,198.488
1985 Mar,195.25
1985 Apr,185.173
1985 May,197.123
1985 Jun,205.682
1985 Jul,227.004
1985 Aug,226.286
1985 Sep,202.712
1985 Oct,194.995
1985 Nov,192.649
1985 Dec,219.49
1986 Jan,217.761
1986 Feb,192.582
1986 Mar,197.115
1986 Apr,186.37
1986 May,197.647
1986 Jun,215.334
1986 Jul,242.954
1986 Aug,225.402
1986 Sep,206.905
1986 Oct,197.96
1986 Nov,196.654
1986 Dec,213.787
1987 Jan,223.041
1987 Feb,194.281
1987 Mar,202.13
1987 Apr,189.792
1987 May,206.407
1987 Jun,225.908
1987 Jul,248.196
1987 Aug,247.881
1987 Sep,213.221
1987 Oct,203.215
1987 Nov,200.479
1987 Dec,220.736
1988 Jan,238.188
1988 Feb,217.183
1988 Mar,214.294
1988 Apr,196.297
1988 May,208.704
1988 Jun,233.066
1988 Jul,257.742
1988 Aug,267.929
1988 Sep,220.392
1988 Oct,210.814
1988 Nov,209.815
1988 Dec,232.988
1989 Jan,246.766
1989 Feb,233.783
1989 Mar,241.946
1989 Apr,222.869
1989 May,234.825
1989 Jun,250.919
1989 Jul,273.458
1989 Aug,275.42
1989 Sep,242.794
1989 Oct,235.669
1989 Nov,234.25
1989 Dec,274.448
1990 Jan,255.187
1990 Feb,229.499
1990 Mar,244.761
1990 Apr,229.77
1990 May,241.774
1990 Jun,268.992
1990 Jul,287.448
1990 Aug,290.655
1990 Sep,258.357
1990 Oct,244.372
1990 Nov,231.242
1990 Dec,255.77
1991 Jan,269.214
1991 Feb,228.29
1991 Mar,240.561
1991 Apr,227.799
1991 May,254.873
1991 Jun,269.099
1991 Jul,294.648
1991 Aug,292.159
1991 Sep,256.027
1991 Oct,245.378
1991 Nov,241.661
1991 Dec,254.089
1992 Jan,267.773
1992 Feb,239.514
1992 Mar,247.733
1992 Apr,233.406
1992 May,242.412
1992 Jun,261.077
1992 Jul,293.617
1992 Aug,281.927
1992 Sep,259.925
1992 Oct,244.994
1992 Nov,244.162
1992 Dec,267.343
1993 Jan,271.021
1993 Feb,248.015
1993 Mar,261.248
1993 Apr,234.695
1993 May,244.326
1993 Jun,275.36
1993 Jul,312.225
1993 Aug,311.45
1993 Sep,264.032
1993 Oct,250.553
1993 Nov,252.102
1993 Dec,272.165
1994 Jan,289.768
1994 Feb,249.172
1994 Mar,257.998
1994 Apr,240.637
1994 May,252.745
1994 Jun,294.162
1994 Jul,311.257
1994 Aug,307.605
1994 Sep,266.262
1994 Oct,256.528
1994 Nov,251.868
1994 Dec,269.52
1995 Jan,279.773
1995 Feb,252.307
1995 Mar,261.343
1995 Apr,244.736
1995 May,264.288
1995 Jun,286.258
1995 Jul,330.416
1995 Aug,345.78
1995 Sep,277.575
1995 Oct,263.978
1995 Nov,261.478
1995 Dec,285.554
1996 Jan,296.923
1996 Feb,270.685
1996 Mar,275.019
1996 Apr,251.613
1996 May,282.266
1996 Jun,302.717
1996 Jul,327.708
1996 Aug,329.286
1996 Sep,283.151
1996 Oct,271.446
1996 Nov,269.122
1996 Dec,284.25
1997 Jan,300.574
1997 Feb,258.131
1997 Mar,272.258
1997 Apr,258.284
1997 May,272.914
1997 Jun,299.092
1997 Jul,344.516
1997 Aug,332.899
1997 Sep,301.057
1997 Oct,284.971
1997 Nov,271.121
1997 Dec,296.356
1998 Jan,295.26
1998 Feb,260.59
1998 Mar,286.878
1998 Apr,261.23
1998 May,299.64
1998 Jun,328.903
1998 Jul,361.936
1998 Aug,357.366
1998 Sep,318.924
1998 Oct,284.446
1998 Nov,267.136
1998 Dec,297.986
1999 Jan,315.814
1999 Feb,274.82
1999 Mar,298.145
1999 Apr,280.719
1999 May,300.098
1999 Jun,328.924
1999 Jul,376.538
1999 Aug,364.031
1999 Sep,305.516
1999 Oct,283.935
1999 Nov,271.096
1999 Dec,295.174
2000 Jan,327.994
2000 Feb,294.169
2000 Mar,301.58
2000 Apr,285.578
2000 May,322.954
2000 Jun,339.054
2000 Jul,356.528
2000 Aug,368.669
2000 Sep,312.447
2000 Oct,289.452
2000 Nov,284.67
2000 Dec,319.011
2001 Jan,332.493
2001 Feb,282.94
2001 Mar,300.707
2001 Apr,278.079
2001 May,300.492
2001 Jun,327.694
2001 Jul,357.614
2001 Aug,370.533
2001 Sep,306.929
2001 Oct,294.734
2001 Nov,278.934
2001 Dec,305.496
2002 Jan,319.941
2002 Feb,281.826
2002 Mar,302.549
2002 Apr,289.848
2002 May,307.675
2002 Jun,341.023
2002 Jul,381.542
2002 Aug,374.586
2002 Sep,331.279
2002 Oct,307.059
2002 Nov,296.29
2002 Dec,324.834
2003 Jan,341.989
2003 Feb,299.249
2003 Mar,304.317
2003 Apr,285.756
2003 May,307.545
2003 Jun,328.694
2003 Jul,374.396
2003 Aug,381.816
