index,value
1950,2.429415
1951,2.363364
1952,2.374305
1953,2.29552
1954,2.329716
1955,2.233017
1956,2.378179
1957,2.322671
1958,2.416556
1959,2.498199
1960,2.579453
1961,2.58084
1962,2.629293
1963,2.581853
1964,2.72094
1965,2.844774
1966,3.144862
1967,3.433044
1968,3.358418
1969,3.46262
1970,3.647342
1971,3.99108
1972,3.925702
1973,4.490962
1974,4.491541
1975,4.396567
1976,3.984491
1977,4.115111
1978,4.018538
1979,4.201107
1980,4.367459
1981,4.228103
1982,4.145889
1983,3.786691
1984,3.827373
1985,3.820376
1986,4.025134
1987,4.07013
1988,4.10592
1989,4.039027
1990,4.113978
1991,4.41067
1992,4.110586
1993,4.3577
1994,3.95904
1995,3.882907
1996,3.524803
1997,3.249564
1998,3.139884
1999,3.034263
2e3,2.805041
2001,3.304467
2002,2.797697
2003,2.662227
2004,2.589383
